Dataset,Accuracy,Uncompressed Latency,Compressed Latency,Quantized Latency,Model Size (KB),Compressed Size (KB),Quantized Size (KB)
cifar10,0.28769999742507935,0.20019221305847168,0.0015714168548583984,3.719329833984375e-05,51.1484375,3.74609375,3.74609375
mnist,0.23960000276565552,0.1400587558746338,5.078315734863281e-05,4.410743713378906e-05,51.203125,3.578125,3.578125
fashion_mnist,0.25519999861717224,0.22316312789916992,6.556510925292969e-05,0.001711130142211914,51.203125,3.578125,3.578125
